target	key	en	ar
SharedResource	Common.Edit	Edit	تعديل
SharedResource	Common.Delete	Delete	حذف
SharedResource	Common.Create	Create	إنشاء
SharedResource	Common.Add	Add	إضافة
SharedResource	Common.Submit	Submit	إرسال
SharedResource	Common.Search	Search	بحث
SharedResource	Common.Apply	Apply	قدّم طلبًا
SharedResource	Common.Approve	Approve	موافقة
SharedResource	Common.Reject	Reject	رفض
SharedResource	Common.View	View	عرض
SharedResource	Common.Back	Back	رجوع
SharedResource	Common.Yes	Yes	نعم
SharedResource	Common.No	No	لا
SharedResource	Common.Confirm	Confirm	تأكيد
SharedResource	Common.Status	Status	الحالة
SharedResource	Common.Name	Name	الاسم
SharedResource	Common.Email	Email	البريد الإلكتروني
SharedResource	Common.Actions	Actions	إجراءات
SharedResource	Common.Details	Details	التفاصيل
SharedResource	Common.None	None	لا يوجد
SharedResource	Common.Date	Date	التاريخ
SharedResource	Common.NotAvailable	N/A	غير متاح
SharedResource	Common.Optional	(optional)	(اختياري)
SharedResource	Common.Rent	Rent	الإيجار
SharedResource	Common.Deposit	Deposit	وديعة
SharedResource	Common.Total	Total	الإجمالي
SharedResource	Common.Loading	Loading...	جارٍ التحميل...
SharedResource	Common.Required	This field is required.	هذا الحقل مطلوب.
SharedResource	Common.ConfirmDelete	Are you sure you want to delete this?	هل أنت متأكد أنك تريد الحذف؟
SharedResource	Enums.ApprovalStatus.Pending	Pending	قيد المراجعة
SharedResource	Enums.ApprovalStatus.Approved	Approved	موافق عليه
SharedResource	Enums.ApprovalStatus.Rejected	Rejected	مرفوض
SharedResource	Enums.ApprovalStatus.NeedsChanges	Needs changes	يتطلب تعديلات
SharedResource	Enums.ApprovalStatus.Draft	Draft	مسودة
SharedResource	Enums.ApprovalStatus.Suspended	Suspended	معلق
SharedResource	Enums.ApprovalStatus.Archived	Archived	مؤرشف
SharedResource	Enums.PropertyType.Apartment	Apartment	شقة
SharedResource	Enums.PropertyType.SharedHouse	Shared house	بيت مشترك
SharedResource	Enums.PropertyType.Studio	Studio	استوديو
SharedResource	Enums.PropertyType.SingleRoom	Single room	غرفة مفردة
SharedResource	Enums.RoomType.Single	Single	مفردة
SharedResource	Enums.RoomType.Shared	Shared	مشتركة
SharedResource	Enums.RoomType.Master	Master	رئيسية
SharedResource	Enums.BathroomType.Private	Private	خاصة
SharedResource	Enums.BathroomType.Shared	Shared	مشتركة
SharedResource	Enums.BathroomType.Attached	Attached	ملحقة
SharedResource	Enums.ApplicationStatus.Pending	Pending	قيد الانتظار
SharedResource	Enums.ApplicationStatus.Approved	Approved	مقبول
SharedResource	Enums.ApplicationStatus.Rejected	Rejected	مرفوض
SharedResource	Enums.ApplicationStatus.Cancelled	Cancelled	ملغي
SharedResource	Enums.ComplaintStatus.Open	Open	مفتوحة
SharedResource	Enums.ComplaintStatus.UnderReview	Under review	قيد المعالجة
SharedResource	Enums.ComplaintStatus.Resolved	Resolved	تم الحل
SharedResource	Enums.ComplaintStatus.Dismissed	Dismissed	مرفوضة
SharedResource	Enums.VerificationStatus.Unverified	Unverified	غير موثق
SharedResource	Enums.VerificationStatus.Pending	Pending	قيد المراجعة
SharedResource	Enums.VerificationStatus.Verified	Verified	موثق
SharedResource	Enums.VerificationStatus.Rejected	Rejected	مرفوض
SharedResource	Enums.VerificationStatus.NeedsChanges	Needs changes	يتطلب تعديلات
SharedResource	Enums.ReviewStatus.Pending	Pending	قيد المراجعة
SharedResource	Enums.ReviewStatus.Approved	Approved	منشور
SharedResource	Enums.ReviewStatus.Removed	Removed	محذوف
SharedResource	Enums.StayStatus.Active	Active	نشط
SharedResource	Enums.StayStatus.Completed	Completed	مكتمل
SharedResource	Enums.StayStatus.Cancelled	Cancelled	ملغي
SharedResource	Enums.Gender.Male	Male	ذكر
SharedResource	Enums.Gender.Female	Female	أنثى
SharedResource	Enums.Gender.Other	Other	أخرى
SharedResource	Enums.Gender.PreferNotToSay	Prefer not to say	أفضل عدم الإفصاح
SharedResource	Enums.SleepSchedule.EarlyBird	Early bird	صباحي
SharedResource	Enums.SleepSchedule.NightOwl	Night owl	ليلي
SharedResource	Enums.SleepSchedule.Flexible	Flexible	مرن
SharedResource	Enums.NoiseLevel.Quiet	Quiet	هادئ
SharedResource	Enums.NoiseLevel.Moderate	Moderate	معتدل
SharedResource	Enums.NoiseLevel.Loud	Lively	صاخب
SharedResource	Enums.Cleanliness.Tidy	Tidy	مرتب
SharedResource	Enums.Cleanliness.Casual	Casual	عادي
SharedResource	Enums.Cleanliness.Messy	Messy	فوضوي
SharedResource	Enums.ComplaintType.Harassment	Harassment	تحرش
SharedResource	Enums.ComplaintType.PropertyIssue	Property issue	مشكلة عقار
SharedResource	Enums.ComplaintType.Misrepresentation	Misrepresentation	تضليل
SharedResource	Enums.ComplaintType.Scam	Scam	احتيال
SharedResource	Enums.ComplaintType.Other	Other	أخرى
SharedResource	Enums.PropertyImageCategory.Exterior	Exterior	واجهة المبنى
SharedResource	Enums.PropertyImageCategory.Entrance	Entrance	مدخل
SharedResource	Enums.PropertyImageCategory.LivingRoom	Living room	غرفة معيشة
SharedResource	Enums.PropertyImageCategory.Kitchen	Kitchen	مطبخ
SharedResource	Enums.PropertyImageCategory.Bathroom	Bathroom	حمام
SharedResource	Enums.PropertyImageCategory.Bedroom	Bedroom	غرفة نوم
SharedResource	Enums.PropertyImageCategory.Other	Other	أخرى
SharedResource	Enums.NotificationType.General	General	عام
SharedResource	Enums.NotificationType.Application	Application	طلب
SharedResource	Enums.NotificationType.ApplicationStatus	Application status	حالة الطلب
SharedResource	Enums.NotificationType.Message	Message	رسالة
SharedResource	Enums.NotificationType.PropertyApproval	Property approval	موافقة العقار
SharedResource	Enums.NotificationType.Review	Review	تقييم
SharedResource	Enums.NotificationType.Complaint	Complaint	شكوى
SharedResource	Enums.NotificationType.Verification	Verification	توثيق
SharedResource	Enums.NotificationType.Reminder	Reminder	تذكير
SharedResource	Account.Login	Sign in	تسجيل الدخول
SharedResource	Account.LoginTitle	Welcome back	مرحبًا بعودتك
SharedResource	Account.LoginSubtitle	Sign in to manage your housing.	سجل الدخول لإدارة سكنك.
SharedResource	Account.Email	Email	البريد الإلكتروني
SharedResource	Account.Password	Password	كلمة المرور
SharedResource	Account.RememberMe	Remember me	تذكرني
SharedResource	Account.ForgotPassword	Forgot your password?	نسيت كلمة المرور؟
SharedResource	Account.NoAccount	Don't have an account?	ليس لديك حساب؟
SharedResource	Account.Register	Create account	إنشاء حساب
SharedResource	Account.RegisterTitle	Join Housing Gate	انضم إلى بوابة السكن
SharedResource	Account.RegisterSubtitle	Create your account to start searching.	أنشئ حسابك لبدء البحث.
SharedResource	Account.FirstName	First name	الاسم الأول
SharedResource	Account.LastName	Last name	اسم العائلة
SharedResource	Account.PhoneNumber	Phone number	رقم الهاتف
SharedResource	Account.ConfirmPassword	Confirm password	تأكيد كلمة المرور
SharedResource	Account.Role	I am a	أنا
SharedResource	Account.Student	Student	طالب
SharedResource	Account.Owner	Property owner	مالك عقار
SharedResource	Account.AlreadyRegistered	Already have an account?	لديك حساب بالفعل؟
SharedResource	Account.LogoutConfirm	Sign out?	تسجيل الخروج؟
SharedResource	Account.LoginError	Invalid login attempt.	بيانات الدخول غير صحيحة.
SharedResource	Account.LoginLocked	Your account is locked.	حسابك مقفل.
SharedResource	Account.RegisterError	Registration failed.	فشل التسجيل.
SharedResource	Account.EmailInUse	An account with this email already exists.	يوجد حساب بهذا البريد الإلكتروني بالفعل.
SharedResource	Account.CreatedOwner	Owner account created.	تم إنشاء حساب المالك.
SharedResource	Account.CreatedStudent	Student account created.	تم إنشاء حساب الطالب.
SharedResource	Account.AccessDenied	Access denied	تم رفض الوصول
SharedResource	Account.AccessDeniedText	You don't have permission to view this page.	ليس لديك صلاحية لعرض هذه الصفحة.
SharedResource	Account.BackToHome	Back to home	العودة للرئيسية
SharedResource	Account.LoginToContinue	Sign in to continue	سجل الدخول للمتابعة
SharedResource	Account.DemoAccounts	Demo accounts	حسابات تجريبية
SharedResource	Account.DemoStudent	Student	طالب
SharedResource	Account.DemoOwner	Owner	مالك
SharedResource	Account.DemoAdmin	Admin	مشرف
SharedResource	Account.IAmA	I am a...	أنا...
SharedResource	Account.TermsPrefix	I agree to the	أوافق على
SharedResource	Account.TermsOfService	Terms of Service	شروط الخدمة
SharedResource	Account.AndWord	and	و
SharedResource	Account.PrivacyPolicy	Privacy Policy	سياسة الخصوصية
SharedResource	HiW.Step1Title	Create your account	أنشئ حسابك
SharedResource	HiW.Step1Text	Sign up as a Student to search housing and find roommates, or as an Owner to list properties. Every account is real-person verified.	سجّل كطالب للبحث عن سكن وإيجاد زملاء، أو كمالك لعرض العقارات. كل حساب يتم توثيق هوية صاحبه.
SharedResource	HiW.Step2Title	Complete your profile	أكمل ملفك الشخصي
SharedResource	HiW.Step2Text	Students add their university, budget, move-in date and lifestyle details (sleep schedule, noise level, cleanliness). Owners add company info and ownership documents. Upload a student ID or ownership proof to earn the verified badge.	يضيف الطلاب جامعتهم وميزانيتهم وتاريخ الانتقال وتفاصيل نمط الحياة. يضيف الملاك معلومات الشركة ومستندات الملكية. ارفع بطاقة طلابية أو إثبات ملكية للحصول على شارة التوثيق.
SharedResource	HiW.Step3Title	Find housing & roommates	ابحث عن سكن وزملاء
SharedResource	HiW.Step3Text	Browse verified listings by city, price and type. The Roommate Matches page ranks other students by budget overlap, gender preference, smoking, sleep schedule, noise, cleanliness and pets.	تصفح العقارات الموثقة حسب المدينة والسعر والنوع. صفحة مطابقة زملاء الغرفة ترتب الطلاب حسب تداخل الميزانية وتفضيل الجنس والتدخين وجدول النوم والضوضاء والنظافة والحيوانات الأليفة.
SharedResource	HiW.Step4Title	Apply & get approved	قدّم طلبًا واحصل على الموافقة
SharedResource	HiW.Step4Text	Apply to a room with a short message. The owner approves or rejects your application. Approved applications become verified stays.	قدّم طلبًا لغرفة مع رسالة قصيرة. يوافق المالك على طلبك أو يرفضه. تتحول الطلبات المقبولة إلى إقامات موثقة.
SharedResource	HiW.Step5Title	Review honestly	قيّم بصدق
SharedResource	HiW.Step5Text	After a verified stay ends, you can review the property and the students you lived with. Reviews are moderated by admins to keep the community safe and honest.	بعد انتهاء إقامة موثقة، يمكنك تقييم العقار والطلاب الذين عشت معهم. يتم مراجعة التقييمات من قبل المشرفين للحفاظ على سلامة المجتمع.
SharedResource	HiW.Step6Text	Students and owners can file complaints about a user or a property. Our admin team reviews every complaint and follows up.	يمكن للطلاب والملاك تقديم شكاوى عن مستخدم أو عقار. يقوم فريق الإدارة بمراجعة كل شكوى والمتابعة.
SharedResource	HiW.GetStarted	Get started	ابدأ الآن
SharedResource	HiW.BrowseHousing	Browse housing	تصفح السكن
SharedResource	About.Lead	Housing Gate is a student housing marketplace that connects university students with verified property owners — and, more importantly, with each other.	بوابة السكن هي سوق سكن طلابي يربط طلاب الجامعات بملاك العقارات الموثقين — والأهم من ذلك، ببعضهم البعض.
SharedResource	About.Body	Moving away from your hometown is hard. Finding a place to live that fits your budget is hard. Finding people you actually want to live with is often the hardest part. Housing Gate was built to solve all three at once.	الابتعاد عن مسقط رأسك صعب. العثور على مكان يناسب ميزانيتك صعب. والعثور على أشخاص تريد فعلًا العيش معهم هو الأصعب غالبًا. بُنيت بوابة السكن لحل الأمور الثلاثة معًا.
SharedResource	About.DifferentTitle	What makes us different	ما الذي يميزنا
SharedResource	About.Point1Title	Verified everything	توثيق شامل
SharedResource	About.Point1Text	students, owners and listings all go through review.	الطلاب والملاك والعقارات تخضع جميعها للمراجعة.
SharedResource	About.Point2Title	Roommate matching	مطابقة زملاء الغرفة
SharedResource	About.Point2Text	compatibility scores based on your profile and preferences.	درجات توافق مبنية على ملفك وتفضيلاتك.
SharedResource	About.Point3Title	Reviews after verified stays	تقييمات بعد إقامات موثقة
SharedResource	About.Point3Text	only real residents can review a property or a roommate.	المقيمون الفعليون فقط يمكنهم تقييم عقار أو زميل غرفة.
SharedResource	About.Point4Title	A human safety net	شبكة أمان بشرية
SharedResource	About.Point4Text	admins verify identities, moderate reviews and handle complaints.	المشرفون يوثقون الهويات ويراجعون التقييمات ويتعاملون مع الشكاوى.
SharedResource	Error.RequestId	Request ID	معرف الطلب
SharedResource	Home.Hero	Find your home away from home	جد منزلك بعيدًا عن منزلك
SharedResource	Home.HeroSub	Search verified student housing, compare rooms and find compatible roommates.	ابحث عن سكن طلابي موثق، قارن الغرف واعثر على زملاء متوافقين.
SharedResource	Home.HeroTagline	Find your home, find your people.	جد منزلك واعثر على رفاقك.
SharedResource	Home.HeroText	Housing Gate connects students with verified landlords and compatible roommates — so moving to a new city feels a little more like home.	بوابة السكن تربط الطلاب بمؤجرين موثقين وزملاء متوافقين — حتى يشعر الانتقال إلى مدينة جديدة بمزيد من الألفة.
SharedResource	Home.City	City	المدينة
SharedResource	Home.CityPlaceholder	City, e.g. Cairo	المدينة، مثلًا القاهرة
SharedResource	Home.MaxRent	Max rent	أقصى إيجار
SharedResource	Home.Popular	Popular:	شائع:
SharedResource	Home.VerifiedListings	Verified listings	عقارات موثقة
SharedResource	Home.FeaturedHousing	Featured housing	سكن مميز
SharedResource	Home.BrowseAll	Browse all	تصفح الكل
SharedResource	Home.NoListingsYet	No listings yet. Check back soon!	لا توجد عقارات بعد. ترقّب قريبًا!
SharedResource	Home.HowWorks	How Housing Gate works	كيف تعمل بوابة السكن
SharedResource	Home.Step1Title	1. Get verified	1. توثيق الحساب
SharedResource	Home.Step1Text	Verify your student ID or ownership documents so everyone knows you're real.	وثّق بطاقتك الطلابية أو مستندات الملكية حتى يعرف الجميع أنك حقيقي.
SharedResource	Home.Step2Title	2. Get matched	2. المطابقة
SharedResource	Home.Step2Text	Our matching engine finds roommates who fit your budget, sleep schedule and lifestyle.	محرك المطابقة لدينا يجد زملاء يناسبون ميزانيتك ومواعيد نومك وأسلوب حياتك.
SharedResource	Home.Step3Title	3. Move in & review	3. الانتقال والتقييم
SharedResource	Home.Step3Text	Apply, move in, then review the property and your roommates after a verified stay.	قدّم طلبك وانتقل ثم قيّم العقار وزملاءك بعد إقامة موثقة.
SharedResource	Card.Featured	Featured	مميز
SharedResource	Card.VerifiedOwner	Verified owner	مالك موثق
SharedResource	Card.Furnished	Furnished	مفروش
SharedResource	Card.BedroomsShort	bd	غرف
SharedResource	Card.PerMonth	/mo	/شهريًا
SharedResource	Common.CurrencySymbol	EGP	ج.م
SharedResource	Home.SearchPlaceholder	Search by city, district or university...	ابحث بالمدينة أو الحي أو الجامعة...
SharedResource	Home.SearchButton	Search	بحث
SharedResource	Home.Featured	Featured listings	عقارات مميزة
SharedResource	Home.LatestListings	Latest listings	أحدث العقارات
SharedResource	Home.ViewAll	View all listings	عرض جميع العقارات
SharedResource	Home.NoListings	No listings available yet.	لا توجد عقارات متاحة حاليًا.
SharedResource	Home.Feature1	Verified properties	عقارات موثقة
SharedResource	Home.Feature1Text	Every listing is reviewed by our team before going live.	يتم مراجعة كل عقار من قبل فريقنا قبل نشره.
SharedResource	Home.Feature2	Roommate matching	مطابقة زملاء الغرفة
SharedResource	Home.Feature2Text	Find students with compatible habits and lifestyle.	اعثر على طلاب بتفضيلات وأسلوب حياة متوافق.
SharedResource	Home.Feature3	Fair reviews	تقييمات عادلة
SharedResource	Home.Feature3Text	Real reviews from students who actually stayed.	تقييمات حقيقية من طلاب أقاموا بالفعل.
SharedResource	Home.HowItWorksTitle	How it works	كيف يعمل
SharedResource	Home.AboutTitle	About Housing Gate	عن بوابة السكن
SharedResource	Home.AboutText	Housing Gate connects university students with verified, fairly-priced housing and helps them find compatible roommates.	بوابة السكن تربط طلاب الجامعات بسكن موثق وعادل السعر وتساعدهم في العثور على زملاء متوافقين.
SharedResource	Notif.NoNotifications	No notifications yet.	لا توجد إشعارات بعد.
SharedResource	Notif.MarkAllRead	Mark all as read	تحديد الكل كمقروء
SharedResource	Notif.Unread	Unread	غير مقروء
SharedResource	Notif.Read	Read	مقروء
SharedResource	Error.Title	Error	خطأ
SharedResource	Error.NotFound	Page not found	الصفحة غير موجودة
SharedResource	Error.SomethingWentWrong	Something went wrong.	حدث خطأ ما.
SharedResource	Error.TryAgain	Please try again later.	يرجى المحاولة لاحقًا.
SharedResource	Error.NoAccess	You do not have access to this page.	ليس لديك حق الوصول لهذه الصفحة.
Areas/StudentAreaResource	Common.Back	Back	رجوع
Areas/StudentAreaResource	Common.Cancel	Cancel	إلغاء
Areas/StudentAreaResource	Applications.Applied	Applied	تم التقديم
Areas/StudentAreaResource	Applications.Cancel	Cancel application	إلغاء التقديم
Areas/StudentAreaResource	Applications.Empty	You haven't applied to any properties yet.	لم تتقدم لأي عقار بعد.
Areas/StudentAreaResource	Applications.Empty2	Browse available properties and start applying.	تصفح العقارات المتاحة وابدأ بالتقديم.
Areas/StudentAreaResource	Applications.Property	Property	العقار
Areas/StudentAreaResource	Applications.Room	Room	الغرفة
Areas/StudentAreaResource	Complaints.About	About	عن
Areas/StudentAreaResource	Complaints.AboutUser	About you	عنك
Areas/StudentAreaResource	Complaints.AdminResponse	Admin response	رد الإدارة
Areas/StudentAreaResource	Complaints.DescPlaceholder	Describe the issue in detail...	صف المشكلة بالتفصيل...
Areas/StudentAreaResource	Complaints.Details	Details	التفاصيل
Areas/StudentAreaResource	Complaints.Empty	No complaints filed.	لا توجد شكاوى مقدمة.
Areas/StudentAreaResource	Complaints.File	File	إيداع
Areas/StudentAreaResource	Complaints.FiledOn	Filed on	مقدمة في
Areas/StudentAreaResource	Complaints.New	New complaint	شكوى جديدة
Areas/StudentAreaResource	Complaints.NoProperty	No property	لا يوجد عقار
Areas/StudentAreaResource	Complaints.NoResponse	No response yet.	لا يوجد رد بعد.
Areas/StudentAreaResource	Complaints.NoUser	No user	لا يوجد مستخدم
Areas/StudentAreaResource	Complaints.Subject	Subject	الموضوع
Areas/StudentAreaResource	Complaints.SubjectPlaceholder	Short summary of the issue	ملخص مختصر للمشكلة
Areas/StudentAreaResource	Complaints.Submit	Submit complaint	إرسال الشكوى
Areas/StudentAreaResource	Complaints.Description	Description	الوصف
Areas/StudentAreaResource	Complaints.ReportedUser	Reported user	المستخدم المُبلَّغ عنه
Areas/StudentAreaResource	Complaints.ReportedProperty	Reported property	العقار المُبلَّغ عنه
Areas/StudentAreaResource	Complaints.Title	Complaints	الشكاوى
Areas/StudentAreaResource	Complaints.Type	Category	الفئة
Areas/StudentAreaResource	Dash.ActiveApplications	Active applications	الطلبات النشطة
Areas/StudentAreaResource	Dash.ActiveStays	Active stays	الإقامات النشطة
Areas/StudentAreaResource	Dash.Applied	Applied	تم التقديم
Areas/StudentAreaResource	Dash.EditProfile	Edit profile	تعديل الملف الشخصي
Areas/StudentAreaResource	Dash.Hello	Hello	مرحبًا
Areas/StudentAreaResource	Dash.NoApplications	You haven't applied to any property yet.	لم تتقدم لأي عقار بعد.
Areas/StudentAreaResource	Dash.NoStays	No stays yet.	لا توجد إقامات بعد.
Areas/StudentAreaResource	Dash.RecentApplications	Recent applications	أحدث الطلبات
Areas/StudentAreaResource	Dash.RecentStays	Recent stays	أحدث الإقامات
Areas/StudentAreaResource	Dash.ReviewsToWrite	Reviews to write	تقييمات بانتظار كتابتها
Areas/StudentAreaResource	Dash.Room	Room	الغرفة
Areas/StudentAreaResource	Dash.Started	Started	بدأت
Areas/StudentAreaResource	Dash.StartSearching	Start searching for housing	ابدأ البحث عن سكن
Areas/StudentAreaResource	Dash.UploadStudentId	Upload your student ID to get verified	ارفع بطاقة الجامعة للتحقق
Areas/StudentAreaResource	Dash.VerifiedStays	Verified stays	إقامات موثقة
Areas/StudentAreaResource	Dash.VerifyBanner	Your account is being reviewed by an admin.	يتم مراجعة حسابك من قِبل الإدارة.
Areas/StudentAreaResource	Dash.VerifyBanner2	Verify your student account to unlock full features.	وثّق حسابك الطلابي لتفعيل جميع الميزات.
Areas/StudentAreaResource	Matches.And	and	و
Areas/StudentAreaResource	Matches.BudgetFit	Budget fit	توافق الميزانية
Areas/StudentAreaResource	Matches.Empty	No strong matches yet. Try completing your profile or widening your preferences.	لا توجد تطابقات قوية بعد. حاول إكمال ملفك أو توسيع تفضيلاتك.
Areas/StudentAreaResource	Matches.GenderFit	Gender fit	توافق الجنس
Areas/StudentAreaResource	Matches.Incomplete	Complete your	أكمل
Areas/StudentAreaResource	Matches.IncompleteTail	to get meaningful matches.	للحصول على تطابقات مفيدة.
Areas/StudentAreaResource	Matches.Intro	Students ranked by how well your profiles and preferences fit together. Budget (30%), gender (10%) and lifestyle (60%).	يتم ترتيب الطلاب حسب مدى توافق ملفاتكم وتفضيلاتكم. الميزانية (30%) والجنس (10%) وأسلوب الحياة (60%).
Areas/StudentAreaResource	Matches.LifestyleFit	Lifestyle fit	توافق أسلوب الحياة
Areas/StudentAreaResource	Matches.Match	match	تطابق
Areas/StudentAreaResource	Matches.Title	Roommate matches	تطابقات زملاء السكن
Areas/StudentAreaResource	Matches.VerifiedStays	verified stay(s)	إقامات موثقة
Areas/StudentAreaResource	Matches.VerifiedStudent	Verified student	طالب موثق
Areas/StudentAreaResource	Matches.YourPrefs	roommate preferences	تفضيلات زملاء السكن
Areas/StudentAreaResource	Matches.YourProfile	profile	الملف الشخصي
Areas/StudentAreaResource	Profile.AcademicYear	Academic year	السنة الدراسية
Areas/StudentAreaResource	Profile.AcceptsPets	I'm OK with roommates who have pets	أتقبل زملاء يملكون حيوانات أليفة
Areas/StudentAreaResource	Profile.AcceptsSmokers	I'm OK with roommates who smoke	أتقبل زملاء يدخنون
Areas/StudentAreaResource	Profile.Bio	Bio	نبذة عني
Areas/StudentAreaResource	Profile.BioPlaceholder	A short intro about yourself...	نبذة قصيرة عن نفسك...
Areas/StudentAreaResource	Profile.BudgetMax	Monthly budget (max)	الميزانية الشهرية (الحد الأقصى)
Areas/StudentAreaResource	Profile.BudgetMin	Monthly budget (min)	الميزانية الشهرية (الحد الأدنى)
Areas/StudentAreaResource	Profile.CityDistrict	City / district of origin	المدينة / الحي
Areas/StudentAreaResource	Profile.Cleanliness	Cleanliness	النظافة
Areas/StudentAreaResource	Profile.DateOfBirth	Date of birth	تاريخ الميلاد
Areas/StudentAreaResource	Profile.EditPrefs	Edit preferences	تعديل التفضيلات
Areas/StudentAreaResource	Profile.EditTitle	Edit profile	تعديل الملف الشخصي
Areas/StudentAreaResource	Profile.Flexible	Flexible	مرن
Areas/StudentAreaResource	Profile.Gender	Gender	الجنس
Areas/StudentAreaResource	Profile.Governorate	Governorate of origin	محافظة المنشأ
Areas/StudentAreaResource	Profile.HasPets	I have pets	أملك حيوانات أليفة
Areas/StudentAreaResource	Profile.IsSmoker	I smoke	أنا مدخن
Areas/StudentAreaResource	Profile.Lifestyle	Lifestyle	أسلوب الحياة
Areas/StudentAreaResource	Profile.LifestyleHeading	Lifestyle (used by the matching engine)	أسلوب الحياة (يستخدمه محرك التطابق)
Areas/StudentAreaResource	Profile.Major	Major	التخصص
Areas/StudentAreaResource	Profile.MinLease	Minimum lease (months)	الحد الأدنى لمدة العقد (بالأشهر)
Areas/StudentAreaResource	Profile.Months	months	أشهر
Areas/StudentAreaResource	Profile.MoveInDate	Move-in date	تاريخ الانتقال
Areas/StudentAreaResource	Profile.NationalId	National ID	البطاقة الشخصية
Areas/StudentAreaResource	Profile.NationalIdLabel	National ID image	صورة البطاقة الشخصية
Areas/StudentAreaResource	Profile.NewDocsRequested	New documents requested.	تم طلب مستندات جديدة.
Areas/StudentAreaResource	Profile.NoiseLevel	Comfortable noise level	مستوى الضوضاء المريح
Areas/StudentAreaResource	Profile.NoPreference	No preference	بدون تفضيل
Areas/StudentAreaResource	Profile.Notes	Notes	ملاحظات
Areas/StudentAreaResource	Profile.NotesPlaceholder	Anything else? e.g. I cook a lot, I study late...	أي شيء آخر؟ مثلًا: أطبخ كثيرًا، أدرس ليلًا...
Areas/StudentAreaResource	Profile.NotUploaded	Not uploaded	لم يتم الرفع
Areas/StudentAreaResource	Profile.NotVerified	Your account is not verified yet.	حسابك غير موثق بعد.
Areas/StudentAreaResource	Profile.Overview	Overview	نظرة عامة
Areas/StudentAreaResource	Profile.PendingBanner	Your verification is pending review.	تحققك قيد المراجعة.
Areas/StudentAreaResource	Profile.PrefBudgetMax	Max budget	الحد الأقصى للميزانية
Areas/StudentAreaResource	Profile.PrefBudgetMin	Min budget	الحد الأدنى للميزانية
Areas/StudentAreaResource	Profile.PrefCleanliness	Preferred cleanliness	النظافة المفضلة
Areas/StudentAreaResource	Profile.Preferences	Preferences	التفضيلات
